Nom du projet,Secteur,Énergie utilisée,Type de transport,Distance transport (km),Fréquence transport,Matériaux,Taille de l’équipe / locaux,Durée de vie estimée (ans),Budget carbone estimé (tCO2e),Score ESG initial
Projet_22,Agriculture durable,renouvelable,aérien,4885.82,mensuelle,recyclé,200,41,911.48,67.03
Projet_23,Agriculture durable,fossile,aérien,9054.34,ponctuelle,plastique,100,40,116.08,59.37
Projet_24,Projets numériques,fossile,routier,266.59,hebdomadaire,béton,50,20,286.66,60.31
Projet_25,Projets numériques,mix,maritime,2882.88,quotidienne,bois,200,5,545.43,22.36
Projet_26,Transport / logistique,fossile,maritime,9040.76,hebdomadaire,bois,10,24,288.68,86.53
Projet_27,Construction immobilière,mix,ferroviaire,3267.37,ponctuelle,"verre, bois",50,24,252.21,94.42
Projet_28,Transport / logistique,fossile,ferroviaire,6145.51,quotidienne,verre,200,43,247.94,47.07
Projet_29,Agriculture durable,renouvelable,maritime,9727.37,mensuelle,béton,200,46,164.36,78.51
Projet_30,Transport / logistique,mix,ferroviaire,7956.27,hebdomadaire,"bois, recyclé, acier",20,31,149.13,96.89
Projet_31,Production industrielle,mix,maritime,7591.61,mensuelle,"béton, acier",50,6,739.21,8.04
Projet_32,Projets numériques,renouvelable,maritime,4325.48,mensuelle,"béton, recyclé",100,15,919.89,65.43
Projet_33,Transport / logistique,mix,maritime,5594.63,hebdomadaire,verre,50,23,100.79,22.88
Projet_34,Production industrielle,fossile,ferroviaire,484.35,quotidienne,"béton, recyclé, bois",100,16,155.45,32.08
Projet_35,Production industrielle,renouvelable,maritime,7452.28,ponctuelle,"plastique, verre, bois",10,26,944.87,4.66
Projet_36,Transport / logistique,renouvelable,ferroviaire,3101.76,quotidienne,"verre, bois, béton",50,32,671.72,73.0
Projet_37,Transport / logistique,fossile,maritime,4774.14,ponctuelle,"béton, plastique, acier",100,5,704.37,24.73
Projet_38,Production industrielle,fossile,routier,1001.8,hebdomadaire,"bois, béton",100,45,270.6,46.48
Projet_39,Production industrielle,fossile,maritime,3996.21,ponctuelle,"recyclé, verre, béton",200,49,41.46,10.56
Projet_40,Construction immobilière,fossile,aérien,6346.35,hebdomadaire,"recyclé, béton, acier",20,43,555.37,99.45
Projet_41,Projets numériques,mix,ferroviaire,655.85,mensuelle,acier,10,36,87.02,29.54
Projet_42,Agriculture durable,renouvelable,aérien,7927.37,hebdomadaire,recyclé,5,45,506.51,47.89
Projet_43,Projets numériques,mix,aérien,4980.54,ponctuelle,"plastique, verre, acier",200,30,848.51,34.43
Projet_44,Construction immobilière,fossile,routier,1427.45,mensuelle,acier,200,5,823.06,24.15
Projet_45,Construction immobilière,mix,maritime,4764.26,hebdomadaire,"acier, recyclé",10,5,95.72,73.92
Projet_46,Agriculture durable,mix,aérien,3781.54,quotidienne,verre,50,10,803.1,41.88
Projet_47,Agriculture durable,renouvelable,ferroviaire,4760.74,mensuelle,verre,5,18,243.91,29.09
Projet_48,Production industrielle,mix,ferroviaire,3457.27,mensuelle,bois,100,48,306.62,99.61
Projet_49,Transport / logistique,renouvelable,routier,5905.24,hebdomadaire,"bois, acier, plastique",50,29,854.57,6.17
Projet_50,Agriculture durable,mix,aérien,4295.31,hebdomadaire,"acier, verre",50,8,356.78,70.98
Projet_51,Construction immobilière,renouvelable,aérien,2559.53,mensuelle,"plastique, verre, recyclé",5,30,609.46,66.3
Projet_52,Transport / logistique,renouvelable,routier,6036.32,quotidienne,"verre, béton, recyclé",10,9,809.08,40.38
Projet_53,Production industrielle,fossile,aérien,2292.41,mensuelle,"bois, verre",50,20,776.61,91.0
Projet_54,Agriculture durable,fossile,ferroviaire,8714.5,ponctuelle,verre,20,48,206.27,33.01
Projet_55,Transport / logistique,fossile,maritime,6009.5,hebdomadaire,béton,10,12,657.91,99.67
Projet_56,Projets numériques,mix,routier,668.0,quotidienne,"verre, béton, acier",50,49,361.64,22.62
Projet_57,Projets numériques,renouvelable,aérien,9514.8,mensuelle,recyclé,50,7,702.86,52.4
Projet_58,Transport / logistique,fossile,routier,6204.56,mensuelle,"recyclé, verre, plastique",50,18,296.89,46.43
Projet_59,Production industrielle,mix,routier,7932.7,mensuelle,"acier, béton, recyclé",100,31,981.83,71.51
Projet_60,Production industrielle,renouvelable,ferroviaire,6809.18,hebdomadaire,"acier, béton",100,14,88.32,6.09
Projet_61,Transport / logistique,renouvelable,maritime,7009.99,mensuelle,"acier, verre",10,23,330.2,92.5
Projet_62,Production industrielle,renouvelable,routier,2102.82,ponctuelle,verre,5,49,747.87,88.29
Projet_63,Transport / logistique,fossile,routier,4749.44,quotidienne,"plastique, bois, acier",50,25,809.54,73.36
Projet_64,Transport / logistique,renouvelable,routier,1180.71,quotidienne,recyclé,200,12,74.13,96.4
Projet_65,Agriculture durable,mix,maritime,4482.17,mensuelle,"plastique, acier",200,46,256.99,90.65
Projet_66,Construction immobilière,renouvelable,ferroviaire,8528.82,hebdomadaire,"verre, acier, bois",200,30,475.52,91.83
Projet_67,Transport / logistique,renouvelable,routier,3845.9,ponctuelle,bois,10,42,715.39,27.39
Projet_68,Projets numériques,fossile,ferroviaire,759.48,mensuelle,"recyclé, verre",200,25,623.44,52.71
Projet_69,Production industrielle,renouvelable,maritime,3026.77,ponctuelle,béton,200,18,431.52,96.63
Projet_70,Agriculture durable,renouvelable,maritime,6066.81,mensuelle,"recyclé, acier",200,36,861.78,86.88
Projet_71,Projets numériques,fossile,routier,9248.81,ponctuelle,acier,10,12,941.38,49.74
Projet_72,Transport / logistique,mix,ferroviaire,2764.25,mensuelle,bois,20,28,697.23,7.71
Projet_73,Agriculture durable,fossile,ferroviaire,9689.18,ponctuelle,"verre, plastique, acier",100,42,353.8,72.03
Projet_74,Projets numériques,fossile,ferroviaire,8513.18,quotidienne,"verre, recyclé, bois",5,28,675.81,85.36
Projet_75,Projets numériques,mix,ferroviaire,7094.01,hebdomadaire,plastique,50,28,214.48,13.9
Projet_76,Agriculture durable,fossile,maritime,6499.21,ponctuelle,"acier, béton",5,34,330.41,37.5
Projet_77,Agriculture durable,mix,aérien,165.63,ponctuelle,"bois, verre",200,15,527.36,96.95
Projet_78,Projets numériques,renouvelable,ferroviaire,9138.73,mensuelle,verre,100,45,37.22,38.93
Projet_79,Production industrielle,mix,aérien,786.38,hebdomadaire,plastique,200,40,529.63,87.09
Projet_80,Transport / logistique,mix,maritime,4591.16,hebdomadaire,recyclé,5,13,134.11,98.53
Projet_81,Projets numériques,fossile,ferroviaire,2565.73,quotidienne,"béton, acier",5,49,808.71,98.32
Projet_82,Projets numériques,renouvelable,routier,6473.22,ponctuelle,"béton, recyclé",50,23,870.76,66.73
Projet_83,Construction immobilière,fossile,ferroviaire,3189.39,hebdomadaire,"bois, plastique",5,34,362.88,62.35
Projet_84,Construction immobilière,mix,routier,3179.92,ponctuelle,"plastique, béton",200,35,291.71,65.57
Projet_85,Production industrielle,renouvelable,maritime,5724.32,mensuelle,"plastique, acier, bois",50,40,73.34,91.16
Projet_86,Agriculture durable,mix,ferroviaire,8194.0,ponctuelle,"plastique, verre, recyclé",20,5,959.5,50.07
Projet_87,Projets numériques,fossile,aérien,9827.72,quotidienne,"plastique, acier, bois",50,50,834.74,88.51
Projet_88,Agriculture durable,renouvelable,routier,1896.18,hebdomadaire,verre,100,12,509.15,13.25
Projet_89,Construction immobilière,mix,maritime,150.11,hebdomadaire,recyclé,100,9,794.17,69.52
Projet_90,Production industrielle,mix,maritime,7029.54,ponctuelle,"verre, plastique",50,9,281.59,74.49
Projet_91,Agriculture durable,mix,maritime,4125.63,quotidienne,"plastique, acier",50,42,787.62,85.42
Projet_92,Projets numériques,renouvelable,maritime,1784.86,mensuelle,"plastique, acier, béton",10,19,722.32,24.93
Projet_93,Projets numériques,renouvelable,routier,6893.79,mensuelle,"béton, plastique, bois",200,39,222.04,65.49
Projet_94,Agriculture durable,mix,maritime,3469.36,mensuelle,béton,50,33,595.22,59.09
Projet_95,Projets numériques,renouvelable,maritime,593.77,ponctuelle,"recyclé, acier, bois",50,42,699.82,16.49
Projet_96,Production industrielle,mix,ferroviaire,5994.23,ponctuelle,acier,50,50,728.12,25.2
Projet_97,Construction immobilière,mix,routier,8826.44,ponctuelle,bois,5,47,596.12,82.63
Projet_98,Production industrielle,renouvelable,ferroviaire,1131.49,ponctuelle,"plastique, acier",50,5,286.72,79.15
Projet_99,Production industrielle,renouvelable,ferroviaire,1230.03,quotidienne,"recyclé, béton",200,11,981.92,25.18
Projet_100,Construction immobilière,renouvelable,routier,6345.67,ponctuelle,bois,100,44,468.44,32.34
Projet_101,Production industrielle,renouvelable,maritime,4441.6,quotidienne,"verre, recyclé, acier",50,7,748.04,50.65
Projet_102,Production industrielle,renouvelable,ferroviaire,7769.05,hebdomadaire,recyclé,50,38,180.88,56.8
Projet_103,Projets numériques,renouvelable,routier,7587.53,hebdomadaire,bois,5,26,705.83,70.01
Projet_104,Construction immobilière,fossile,aérien,6550.39,quotidienne,verre,10,31,309.09,6.3
Projet_105,Production industrielle,fossile,routier,821.79,mensuelle,"verre, béton",20,24,997.52,5.01
Projet_106,Construction immobilière,renouvelable,routier,2749.94,mensuelle,"recyclé, béton, acier",10,47,792.74,86.44
Projet_107,Transport / logistique,renouvelable,ferroviaire,8605.83,mensuelle,verre,100,50,458.51,77.83
Projet_108,Agriculture durable,renouvelable,maritime,1443.47,ponctuelle,bois,5,6,481.17,50.81
Projet_109,Transport / logistique,renouvelable,maritime,9558.6,hebdomadaire,"plastique, béton",10,19,121.32,33.51
Projet_110,Agriculture durable,renouvelable,routier,9487.9,mensuelle,"acier, béton",20,18,946.23,20.67
Projet_111,Construction immobilière,renouvelable,routier,1556.2,ponctuelle,"béton, plastique",20,44,362.41,52.93
Projet_112,Production industrielle,renouvelable,routier,658.99,quotidienne,béton,10,35,48.98,73.06
Projet_113,Transport / logistique,fossile,maritime,5681.21,mensuelle,acier,20,13,838.43,0.57
Projet_114,Construction immobilière,fossile,routier,7823.84,quotidienne,"béton, recyclé",50,9,388.26,28.46
Projet_115,Construction immobilière,mix,routier,5047.1,hebdomadaire,"recyclé, bois",20,43,19.14,96.28
Projet_116,Transport / logistique,fossile,maritime,3793.32,hebdomadaire,"acier, béton",5,5,190.76,70.56
Projet_117,Production industrielle,fossile,maritime,6129.89,quotidienne,"plastique, béton, recyclé",100,44,22.15,68.48
Projet_118,Production industrielle,renouvelable,maritime,9296.46,quotidienne,"bois, acier, plastique",100,12,477.72,88.21
Projet_119,Production industrielle,fossile,ferroviaire,9546.29,hebdomadaire,plastique,100,34,560.02,70.01
Projet_120,Agriculture durable,mix,maritime,5167.45,hebdomadaire,"recyclé, verre, plastique",5,40,306.68,98.73
Projet_121,Projets numériques,fossile,routier,3243.78,mensuelle,recyclé,100,44,614.06,97.98
Projet_122,Transport / logistique,renouvelable,routier,6433.76,hebdomadaire,"acier, verre",10,8,867.68,11.1
Projet_123,Production industrielle,renouvelable,routier,9497.84,quotidienne,bois,20,28,919.89,72.25
Projet_124,Production industrielle,fossile,aérien,778.23,quotidienne,"verre, bois",200,49,443.46,78.98
Projet_125,Construction immobilière,fossile,aérien,8848.75,quotidienne,"verre, recyclé",50,33,858.95,89.15
Projet_126,Construction immobilière,mix,aérien,1950.52,hebdomadaire,"béton, bois, acier",100,18,582.3,51.43
Projet_127,Transport / logistique,fossile,ferroviaire,135.92,quotidienne,"plastique, bois, recyclé",5,17,628.49,65.7
Projet_128,Agriculture durable,renouvelable,maritime,8207.23,mensuelle,"verre, bois, plastique",5,27,77.05,28.11
Projet_129,Construction immobilière,mix,aérien,1291.24,hebdomadaire,"plastique, recyclé, bois",100,10,800.21,47.29
Projet_130,Construction immobilière,mix,routier,9788.77,hebdomadaire,"recyclé, bois, acier",5,17,389.02,1.51
Projet_131,Agriculture durable,fossile,routier,9277.1,quotidienne,verre,200,28,960.78,94.29
Projet_132,Construction immobilière,fossile,aérien,1282.16,ponctuelle,"acier, béton",10,50,31.06,45.13
Projet_133,Transport / logistique,mix,ferroviaire,14.42,hebdomadaire,recyclé,50,21,921.58,35.28
Projet_134,Transport / logistique,mix,routier,2743.05,ponctuelle,"béton, acier",50,42,783.37,61.82
Projet_135,Agriculture durable,mix,maritime,5913.9,hebdomadaire,bois,5,10,568.6,28.06
Projet_136,Production industrielle,fossile,routier,31.89,mensuelle,"verre, bois, acier",10,29,347.15,39.97
Projet_137,Construction immobilière,renouvelable,aérien,1710.27,mensuelle,béton,10,46,826.99,26.58
Projet_138,Construction immobilière,renouvelable,maritime,3182.07,hebdomadaire,"acier, béton, bois",20,32,798.12,14.69
Projet_139,Construction immobilière,renouvelable,aérien,1844.39,ponctuelle,"acier, recyclé, béton",200,11,180.27,7.26
Projet_140,Production industrielle,mix,aérien,799.97,mensuelle,"béton, verre",200,31,561.94,93.16
Projet_141,Projets numériques,fossile,maritime,2661.06,mensuelle,béton,200,19,189.4,51.92
Projet_142,Production industrielle,mix,routier,958.3,quotidienne,verre,50,46,827.82,80.0
Projet_143,Projets numériques,renouvelable,aérien,4600.05,hebdomadaire,"bois, béton",100,5,269.96,96.01
Projet_144,Agriculture durable,fossile,maritime,4925.94,quotidienne,"acier, béton, bois",5,38,579.65,80.14
Projet_145,Production industrielle,renouvelable,routier,1079.47,mensuelle,plastique,20,45,141.15,61.37
Projet_146,Production industrielle,renouvelable,maritime,8454.64,ponctuelle,"recyclé, plastique",100,29,459.97,6.48
Projet_147,Production industrielle,renouvelable,routier,6878.53,quotidienne,"verre, bois, plastique",10,45,85.13,44.85
Projet_148,Projets numériques,renouvelable,ferroviaire,7067.82,ponctuelle,"acier, béton",50,49,455.2,25.38
Projet_149,Projets numériques,mix,routier,3276.19,ponctuelle,"verre, acier",200,5,190.03,44.71
Projet_150,Construction immobilière,renouvelable,aérien,8855.04,ponctuelle,"acier, béton",200,27,574.73,46.77
Projet_151,Production industrielle,fossile,ferroviaire,7513.16,ponctuelle,"acier, plastique",20,38,110.74,94.07
Projet_152,Transport / logistique,mix,aérien,2460.08,quotidienne,"plastique, verre",5,19,652.58,11.86
Projet_153,Projets numériques,renouvelable,ferroviaire,9859.04,ponctuelle,plastique,20,45,767.17,31.59
Projet_154,Production industrielle,mix,aérien,4762.55,ponctuelle,béton,200,24,140.68,3.26
Projet_155,Projets numériques,renouvelable,routier,681.79,mensuelle,"plastique, acier",50,44,933.45,99.35
Projet_156,Transport / logistique,mix,aérien,167.72,hebdomadaire,béton,20,30,936.56,10.28
Projet_157,Construction immobilière,renouvelable,ferroviaire,4306.81,ponctuelle,"plastique, recyclé, acier",5,32,745.19,66.09
Projet_158,Agriculture durable,mix,routier,1411.37,quotidienne,"béton, bois, recyclé",20,29,659.06,19.1
Projet_159,Transport / logistique,renouvelable,maritime,9497.3,hebdomadaire,"acier, recyclé",50,15,969.71,67.4
Projet_160,Agriculture durable,renouvelable,aérien,7395.98,hebdomadaire,"acier, verre, béton",5,45,467.59,25.44
Projet_161,Transport / logistique,fossile,ferroviaire,6876.64,hebdomadaire,verre,20,19,716.81,63.0
Projet_162,Construction immobilière,fossile,routier,7405.68,ponctuelle,"bois, plastique",50,7,172.96,53.58
Projet_163,Production industrielle,renouvelable,ferroviaire,6802.46,hebdomadaire,béton,5,35,546.91,34.74
Projet_164,Construction immobilière,fossile,maritime,1043.68,mensuelle,verre,20,26,138.72,95.5
Projet_165,Agriculture durable,mix,ferroviaire,2259.24,quotidienne,"recyclé, béton, bois",20,46,739.95,24.31
Projet_166,Transport / logistique,mix,maritime,2946.74,hebdomadaire,recyclé,10,47,626.05,64.78
Projet_167,Projets numériques,mix,ferroviaire,6843.05,ponctuelle,béton,50,15,124.13,19.77
Projet_168,Projets numériques,fossile,aérien,4807.89,quotidienne,"bois, recyclé",100,40,174.9,50.83
Projet_169,Transport / logistique,fossile,aérien,8893.02,mensuelle,"recyclé, acier",50,7,914.93,15.6
Projet_170,Agriculture durable,renouvelable,aérien,1497.92,ponctuelle,"acier, bois",200,19,927.05,56.88
Projet_171,Transport / logistique,fossile,aérien,7643.91,hebdomadaire,"verre, béton, recyclé",50,7,198.09,42.19
Projet_172,Production industrielle,mix,routier,7080.52,ponctuelle,acier,10,44,594.88,98.24
Projet_173,Construction immobilière,fossile,routier,7871.81,quotidienne,"acier, recyclé, bois",10,11,389.86,55.83
Projet_174,Production industrielle,fossile,maritime,4082.3,hebdomadaire,"plastique, recyclé",10,49,351.14,50.66
Projet_175,Projets numériques,mix,aérien,5999.93,hebdomadaire,"verre, bois, recyclé",10,14,980.17,18.95
Projet_176,Transport / logistique,renouvelable,aérien,5063.7,hebdomadaire,bois,10,5,525.84,22.62
Projet_177,Production industrielle,fossile,routier,6490.7,mensuelle,"recyclé, verre, plastique",10,38,56.15,45.05
Projet_178,Projets numériques,mix,ferroviaire,1525.97,quotidienne,bois,50,21,967.38,33.78
Projet_179,Transport / logistique,mix,aérien,686.45,ponctuelle,"béton, acier, verre",5,45,749.98,84.23
Projet_180,Construction immobilière,renouvelable,maritime,1604.43,quotidienne,"verre, bois, acier",50,8,827.06,26.22
Projet_181,Projets numériques,mix,maritime,3657.47,quotidienne,plastique,20,13,662.73,31.01
Projet_182,Agriculture durable,renouvelable,routier,4811.09,mensuelle,"acier, plastique, recyclé",50,49,967.45,74.93
Projet_183,Projets numériques,fossile,routier,8399.42,quotidienne,"acier, bois, plastique",20,49,130.94,29.55
Projet_184,Production industrielle,renouvelable,aérien,8627.66,quotidienne,"recyclé, plastique, verre",5,39,840.73,43.33
Projet_185,Agriculture durable,renouvelable,ferroviaire,678.19,hebdomadaire,plastique,100,12,488.54,31.24
Projet_186,Projets numériques,mix,ferroviaire,9405.67,ponctuelle,"recyclé, plastique",5,40,49.21,33.3
Projet_187,Production industrielle,renouvelable,maritime,7754.13,quotidienne,bois,50,42,625.36,33.39
Projet_188,Projets numériques,fossile,aérien,797.71,hebdomadaire,"bois, verre",5,21,208.9,76.0
Projet_189,Production industrielle,renouvelable,maritime,5023.96,mensuelle,"acier, béton, verre",200,47,400.68,76.08
Projet_190,Projets numériques,mix,ferroviaire,1825.3,mensuelle,recyclé,10,14,203.4,0.2
Projet_191,Projets numériques,renouvelable,ferroviaire,864.75,hebdomadaire,"recyclé, acier",10,30,683.58,6.07
Projet_192,Construction immobilière,fossile,ferroviaire,7790.08,mensuelle,"recyclé, plastique",200,5,440.88,31.49
Projet_193,Production industrielle,renouvelable,ferroviaire,7039.1,hebdomadaire,bois,100,33,980.47,50.29
Projet_194,Construction immobilière,renouvelable,ferroviaire,5805.35,ponctuelle,verre,20,39,903.32,55.61
Projet_195,Production industrielle,renouvelable,maritime,2462.54,mensuelle,"recyclé, bois, acier",50,43,239.03,56.21
Projet_196,Agriculture durable,fossile,routier,822.45,ponctuelle,"recyclé, verre",100,6,144.44,11.18
Projet_197,Construction immobilière,renouvelable,aérien,8328.95,mensuelle,bois,100,17,833.91,34.34
Projet_198,Transport / logistique,mix,routier,7416.82,quotidienne,"béton, recyclé",200,9,99.72,52.16
Projet_199,Transport / logistique,renouvelable,aérien,3996.25,mensuelle,"plastique, verre",100,30,190.68,9.44
Projet_200,Agriculture durable,renouvelable,ferroviaire,4599.91,quotidienne,"verre, bois",200,25,855.44,76.5
Projet_201,Transport / logistique,renouvelable,aérien,9167.36,ponctuelle,bois,20,18,169.24,28.02
Projet_202,Construction immobilière,fossile,maritime,998.44,hebdomadaire,"acier, béton, recyclé",10,13,876.83,45.08
Projet_203,Agriculture durable,fossile,routier,1405.92,ponctuelle,acier,100,13,364.06,58.05
Projet_204,Construction immobilière,mix,aérien,506.89,quotidienne,"plastique, verre, bois",100,47,428.48,1.47
Projet_205,Production industrielle,mix,routier,8698.02,mensuelle,"acier, bois, verre",200,35,202.19,50.57
Projet_206,Construction immobilière,renouvelable,ferroviaire,3245.27,mensuelle,"recyclé, plastique, béton",50,31,729.72,63.32
Projet_207,Transport / logistique,mix,aérien,814.98,mensuelle,"béton, bois, plastique",20,29,18.96,17.41
Projet_208,Transport / logistique,mix,aérien,2829.89,mensuelle,béton,5,26,437.14,63.75
Projet_209,Production industrielle,mix,ferroviaire,7611.51,quotidienne,"verre, acier, béton",50,23,249.55,35.84
Projet_210,Agriculture durable,fossile,routier,1783.6,hebdomadaire,"acier, plastique, béton",50,10,922.83,2.72
Projet_211,Projets numériques,fossile,ferroviaire,3692.26,mensuelle,bois,100,31,482.38,21.95
Projet_212,Construction immobilière,mix,ferroviaire,6610.0,hebdomadaire,"bois, béton, verre",5,18,737.88,44.25
Projet_213,Projets numériques,fossile,aérien,9477.67,quotidienne,"acier, bois, recyclé",20,49,74.99,84.16
Projet_214,Production industrielle,mix,aérien,7123.36,hebdomadaire,"bois, verre",10,46,435.26,92.01
Projet_215,Agriculture durable,mix,ferroviaire,4410.06,quotidienne,"acier, verre, bois",5,29,460.94,73.76
Projet_216,Projets numériques,fossile,routier,3688.04,mensuelle,"plastique, verre, acier",100,7,512.5,57.87
Projet_217,Agriculture durable,mix,maritime,626.58,quotidienne,"recyclé, verre, acier",100,33,656.95,14.75
Projet_218,Production industrielle,renouvelable,ferroviaire,2674.84,hebdomadaire,"recyclé, verre, bois",100,46,856.32,52.77
Projet_219,Production industrielle,fossile,ferroviaire,4875.25,quotidienne,"plastique, recyclé",20,6,119.43,25.29
Projet_220,Transport / logistique,fossile,aérien,7503.3,hebdomadaire,"béton, bois, recyclé",10,25,149.53,92.04
Projet_221,Construction immobilière,mix,maritime,2220.52,mensuelle,"plastique, béton",5,32,584.79,79.83
Projet_222,Construction immobilière,fossile,routier,9351.46,mensuelle,"béton, verre, recyclé",100,9,721.33,95.6
Projet_223,Agriculture durable,renouvelable,ferroviaire,7783.78,ponctuelle,"verre, plastique, béton",200,44,292.78,97.67
Projet_224,Transport / logistique,renouvelable,maritime,7076.88,ponctuelle,"verre, recyclé",20,37,927.36,64.41
Projet_225,Projets numériques,renouvelable,routier,9196.14,mensuelle,"recyclé, verre",200,19,577.25,4.35
Projet_226,Transport / logistique,fossile,routier,2122.72,ponctuelle,plastique,50,21,983.17,6.62
Projet_227,Agriculture durable,fossile,ferroviaire,4669.52,hebdomadaire,"bois, plastique",100,5,432.23,63.06
Projet_228,Construction immobilière,fossile,aérien,388.98,ponctuelle,acier,10,30,806.32,14.26
Projet_229,Transport / logistique,renouvelable,maritime,7654.49,ponctuelle,"verre, béton, recyclé",20,22,786.46,4.71
Projet_230,Transport / logistique,fossile,routier,7729.34,mensuelle,acier,100,33,417.71,9.47
Projet_231,Agriculture durable,fossile,aérien,2517.19,mensuelle,"acier, recyclé",50,40,650.15,82.78
Projet_232,Production industrielle,renouvelable,aérien,7511.23,quotidienne,plastique,10,14,180.23,60.95
Projet_233,Construction immobilière,renouvelable,routier,4880.23,hebdomadaire,"plastique, acier, recyclé",200,13,318.64,24.21
Projet_234,Agriculture durable,mix,maritime,9850.23,mensuelle,"plastique, acier, recyclé",50,48,255.69,24.54
Projet_235,Construction immobilière,renouvelable,routier,9810.98,hebdomadaire,béton,10,22,57.28,9.22
Projet_236,Agriculture durable,mix,aérien,3508.37,mensuelle,"recyclé, plastique",20,36,397.0,71.8
Projet_237,Agriculture durable,fossile,aérien,8642.81,hebdomadaire,"acier, recyclé",100,39,678.07,86.51
Projet_238,Projets numériques,renouvelable,ferroviaire,2962.88,ponctuelle,"verre, béton",100,11,521.58,41.41
Projet_239,Construction immobilière,renouvelable,ferroviaire,5380.93,hebdomadaire,plastique,20,10,643.25,62.13
Projet_240,Transport / logistique,renouvelable,maritime,1985.24,mensuelle,"béton, acier",50,22,373.66,43.18
Projet_241,Transport / logistique,renouvelable,ferroviaire,8707.28,hebdomadaire,"verre, plastique",200,16,474.41,82.1
Projet_242,Transport / logistique,mix,ferroviaire,2212.93,quotidienne,acier,100,21,474.02,11.33
Projet_243,Production industrielle,fossile,routier,1662.57,hebdomadaire,"verre, plastique",50,36,763.27,92.86
Projet_244,Transport / logistique,fossile,maritime,3237.41,hebdomadaire,acier,200,44,549.1,57.33
Projet_245,Construction immobilière,fossile,ferroviaire,470.22,hebdomadaire,bois,20,33,242.16,50.55
Projet_246,Transport / logistique,mix,routier,9797.83,quotidienne,"plastique, béton, verre",5,5,294.52,65.82
Projet_247,Production industrielle,renouvelable,maritime,6591.33,hebdomadaire,acier,100,45,112.56,0.1
Projet_248,Production industrielle,renouvelable,aérien,9785.46,quotidienne,bois,200,37,48.78,24.8
Projet_249,Construction immobilière,fossile,maritime,7546.39,quotidienne,"verre, bois, plastique",50,45,331.49,38.36
Projet_250,Transport / logistique,mix,aérien,700.41,mensuelle,béton,5,27,405.53,33.84
Projet_251,Agriculture durable,mix,routier,6553.61,hebdomadaire,"verre, béton, bois",100,42,266.85,62.21
Projet_252,Projets numériques,renouvelable,ferroviaire,8352.46,quotidienne,"recyclé, acier",5,8,852.07,38.42
Projet_253,Agriculture durable,mix,maritime,7631.24,ponctuelle,"acier, verre, recyclé",5,40,104.24,9.79
Projet_254,Production industrielle,mix,aérien,6733.67,hebdomadaire,"bois, recyclé, plastique",20,43,164.34,71.41
Projet_255,Construction immobilière,renouvelable,aérien,1248.22,hebdomadaire,"acier, verre, bois",50,7,291.02,42.59
Projet_256,Production industrielle,renouvelable,aérien,8143.12,mensuelle,"acier, recyclé, verre",100,15,568.56,51.6
